,CBi,Cities,Towns and suburbs,Rural areas
CP01,879.4538660845053,433505500.5027977,470997757.2181513,506871418.1798148
CP02,46.56411802038963,5738163.781623745,5494757.097979405,5896036.836876429
CP03,35.13703185330254,9301454.380398601,8771048.879420448,6903803.076858552
CP04,4985.544422441375,8055150272.17665,6991894056.761698,5812121181.204309
CP05,603.953942562377,132313102.35587278,158984792.22122428,158221639.37470216
CP06,105.84141567910288,12076843.633507947,12970095.495174993,11553310.831008561
CP07,1220.2202521422641,891078583.6495221,1013475111.4066343,1284003123.8531451
CP08,90.8177533478976,7046565.123098672,7831557.203665024,8723770.7420062
CP09,481.2846767983932,208681252.4274629,227174271.21275616,191229212.2910282
CP10,133.2848900869653,1824987.807611929,1209858.7875986828,581958.1132286587
CP11,19.98844578393721,4014112.1080312086,3175198.204472035,2443699.876570398
CP12,4501.157611667085,1232631509.2539375,1307458653.3645663,1159543487.4123006
